Timestamp;WebRequestCount;
2019-10-11 05:30:00;56286.00;
2019-10-11 06:30:00;56388.00;
2019-10-11 07:30:00;7773.00;
2019-10-11 08:30:00;12430.00;
2019-10-11 09:30:00;29995.00;
2019-10-11 10:30:00;39897.00;
2019-10-11 11:30:00;48149.00;
2019-10-11 12:30:00;30274.00;
2019-10-11 13:30:00;36514.00;
2019-10-11 14:30:00;46695.00;
2019-10-11 15:30:00;73512.00;
2019-10-11 16:30:00;59280.00;
2019-10-11 17:30:00;25411.00;
2019-10-11 18:30:00;16837.00;
2019-10-11 19:30:00;11851.00;
2019-10-11 20:30:00;6423.00;
2019-10-11 21:30:00;3403.00;
2019-10-11 22:30:00;3057.00;
2019-10-11 23:30:00;1770.00;
2019-10-12 00:30:00;1573.00;
2019-10-12 01:30:00;777.00;
2019-10-12 02:30:00;478.00;
2019-10-12 03:30:00;419.00;
2019-10-12 04:30:00;879.00;
2019-10-12 05:30:00;842.00;
2019-10-12 06:30:00;548.00;
2019-10-12 07:30:00;1115.00;
2019-10-12 08:30:00;1313.00;
2019-10-12 09:30:00;1147.00;
2019-10-12 10:30:00;1407.00;
2019-10-12 11:30:00;1956.00;
2019-10-12 12:30:00;1422.00;
2019-10-12 13:30:00;1626.00;
2019-10-12 14:30:00;1344.00;
2019-10-12 15:30:00;1431.00;
2019-10-12 16:30:00;2026.00;
2019-10-12 17:30:00;899.00;
2019-10-12 18:30:00;1196.00;
2019-10-12 19:30:00;1433.00;
2019-10-12 20:30:00;1480.00;
2019-10-12 21:30:00;1073.00;
2019-10-12 22:30:00;866.00;
2019-10-12 23:30:00;666.00;
2019-10-13 00:30:00;461.00;
2019-10-13 01:30:00;716.00;
2019-10-13 02:30:00;312.00;
2019-10-13 03:30:00;221.00;
2019-10-13 04:30:00;178.00;
2019-10-13 05:30:00;291.00;
2019-10-13 06:30:00;376.00;
2019-10-13 07:30:00;513.00;
2019-10-13 08:30:00;571.00;
2019-10-13 09:30:00;1012.00;
2019-10-13 10:30:00;788.00;
2019-10-13 11:30:00;1037.00;
2019-10-13 12:30:00;932.00;
2019-10-13 13:30:00;1302.00;
2019-10-13 14:30:00;1144.00;
2019-10-13 15:30:00;1055.00;
2019-10-13 16:30:00;958.00;
2019-10-13 17:30:00;1639.00;
2019-10-13 18:30:00;2020.00;
2019-10-13 19:30:00;1618.00;
2019-10-13 20:30:00;1535.00;
2019-10-13 21:30:00;1889.00;
